"bfi1","bfi2","bfi3","bfi4","bfi5","bfi6","bfi7","bfi8","bfi9","bfi10","bfi11","bfi12","bfi13","bfi14","bfi15","bfi16","bfi17","bfi18","bfi19","bfi20","bfi21","bfi22","bfi23","bfi24","bfi25","bfi26","bfi27","bfi28","bfi29","bfi30","bfi31","bfi32","bfi33","bfi34","bfi35","bfi36","bfi37","bfi38","bfi39","bfi40","bfi41","bfi42","bfi43","bfi44","sexF","ethF","BFIE","BFIA","BFIC","BFIO","BFIN","inc.F","ed.dadF","ed.momF","TRNSF"
3,6,7,2,3,2,5,1,3,6,4,5,7,7,4,2,2,1,5,6,2,2,1,4,3,6,5,7,4,5,2,4,7,4,3,6,4,7,2,2,2,4,1,3,"F","W",4.125,2.33333333333333,6.11111111111111,3.9,3.375,"50k - 75k","CD","GD","ucb"
7,5,5,5,3,2,5,5,3,6,7,2,5,5,3,5,5,5,5,5,3,6,5,3,3,5,3,5,5,5,5,5,5,2,3,6,5,5,6,5,5,6,6,2,"F","AS",4.75,4,3.11111111111111,3.6,4.5,"75k - 100k","GD","CD","ucb"
5,3,6,2,6,4,7,6,6,7,6,4,6,5,6,5,7,6,5,6,5,7,4,7,6,5,3,7,5,6,5,7,4,6,3,6,5,7,4,7,1,7,5,5,"M","W",3.875,4.88888888888889,3.66666666666667,5.7,2.5,"75k - 100k","CD","CD","ucb"
5,5,4,5,5,5,4,5,4,4,4,5,5,6,5,5,4,5,7,6,5,3,6,3,5,5,5,4,5,4,5,4,5,5,4,5,6,5,6,5,5,4,6,5,"F","W",3.375,2.44444444444444,2.77777777777778,4.2,4.375,"> $150k","GD","MD","ucb"
4,1,4,2,4,5,6,3,4,3,4,1,6,2,3,4,6,3,3,3,6,6,5,6,3,3,2,4,3,5,5,6,4,4,4,4,2,4,3,5,3,6,6,4,"F","AS",2.625,5.33333333333333,3.22222222222222,3.5,2.125,"75k - 100k","MD","AD","ucb"
7,1,6,1,7,1,6,2,6,7,7,1,7,3,6,7,7,2,2,7,2,7,1,6,7,7,2,7,3,7,2,7,7,7,4,7,3,7,2,7,2,7,2,7,"F","M",6,5.66666666666667,5.66666666666667,6.1,1.25,NA,"<CD","HSD","ucb"
6,1,6,1,6,1,6,1,6,6,6,1,6,1,6,6,6,3,2,6,1,7,1,5,6,6,1,6,3,7,1,6,6,5,6,7,1,NA,5,6,1,7,3,6,"F","M",5.75,5.77777777777778,NA,5.4,1.75,"> $150k","GD","HSD","ucb"
7,4,5,3,2,2,6,3,6,6,5,2,6,2,5,6,7,5,4,7,2,7,4,5,2,7,3,7,4,6,3,6,5,5,4,6,2,6,3,5,3,6,2,6,"F","L",5.25,5,4.33333333333333,4.4,2.25,"50k - 75k","CD","CD","ucb"
5,5,7,4,6,4,7,5,4,6,6,3,6,3,5,5,6,4,4,6,4,5,5,4,6,4,4,5,5,4,4,7,7,5,4,6,3,6,5,5,5,5,5,4,"M","AS",4,4.33333333333333,4,4.5,3.25,"100k - 150k","CD","CD","ucb"
6,6,5,4,5,4,5,5,3,6,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,4,5,5,5,5,5,6,2,3,5,5,3,5,3,5,4,5,5,"M","AS",4.125,3.11111111111111,3.11111111111111,4.3,4.125,"> $150k","GD","GD","ucb"
7,4,6,2,6,2,5,4,3,5,6,2,6,6,5,7,7,5,6,3,2,5,2,6,5,6,2,6,3,5,2,5,4,5,2,6,2,5,3,5,3,7,5,4,"M","AS",5.5,4.77777777777778,3.88888888888889,4.5,3,"100k - 150k","<GD","MD","ucb"
6,3,7,2,7,1,6,2,5,6,5,1,6,3,4,7,5,3,3,6,2,5,2,6,7,5,1,6,3,4,2,7,5,5,4,6,2,5,3,6,2,6,4,5,"F","W",5.25,5.11111111111111,4.66666666666667,5.1,2,"100k - 150k","MD","CD","ucb"
6,2,6,1,5,6,6,4,6,6,6,2,6,3,5,6,6,4,3,4,4,6,4,7,4,4,2,6,2,7,3,7,6,6,6,6,2,4,4,6,2,7,4,6,"F","M",4.125,5.33333333333333,4,4.7,1.5,"75k - 100k","CD","CD","cc"
3,5,5,6,4,6,5,3,5,4,4,3,6,5,4,4,4,4,5,4,5,4,4,5,5,4,5,5,5,4,6,5,5,5,5,3,5,5,5,4,4,6,5,4,"F","O",2.375,3.33333333333333,3.77777777777778,3.6,3.625,"75k - 100k","MD","MD","ucb"
5,3,6,3,6,5,6,2,5,6,2,2,6,3,6,2,6,2,5,6,6,6,2,3,5,5,5,6,6,6,5,6,6,3,2,3,2,6,5,5,2,5,3,5,"F","AS",2.375,4.55555555555556,5,5.3,3.625,"> $150k","CD","<HSD",NA
4,2,6,2,7,5,7,6,6,6,6,1,5,5,7,6,7,3,5,7,5,7,2,6,7,5,3,6,1,6,4,7,6,6,1,4,1,7,2,7,1,6,2,3,"M","AS",3.625,5.66666666666667,4.55555555555556,6,1.875,"75k - 100k","MD","CD","ucb"
6,2,6,2,5,2,5,5,6,6,7,1,6,4,5,6,7,3,3,5,3,5,2,5,6,6,2,6,3,6,4,5,5,6,4,5,3,5,4,5,2,5,4,6,"F","W",4.875,4.77777777777778,4.22222222222222,5,2.125,"50k - 75k","MD","CD","ucb"
3,1,4,1,4,6,6,6,3,6,5,1,5,5,NA,2,6,6,6,6,6,6,6,4,2,2,1,2,4,1,7,7,5,4,1,3,1,3,6,4,6,6,7,1,"F","L",1.75,5.66666666666667,2,NA,3.625,"75k - 100k","HSD","HSD","ucb"
4,6,6,6,5,5,3,2,7,4,7,4,1,5,4,3,4,5,5,4,5,3,5,3,4,4,4,4,4,4,2,6,4,2,4,2,6,6,4,3,2,2,5,4,"M","AS",3.25,2.44444444444444,3.11111111111111,3.8,3.75,"> $150k","<HSD","<HSD","ucb"
3,1,6,2,4,5,5,4,6,6,4,1,6,4,4,4,6,3,4,5,6,6,5,7,4,3,4,6,4,5,5,6,4,6,4,3,2,5,5,5,2,5,4,3,"F","AS",2.375,4.88888888888889,3.88888888888889,4.2,2.25,"100k - 150k","CD","CD","ucb"
4,3,5,4,4,6,4,5,3,5,4,2,6,5,4,4,6,5,6,4,6,6,5,5,4,2,2,6,5,6,7,5,5,4,6,6,2,6,6,6,6,6,7,4,"F","AS",2.375,4.66666666666667,3.33333333333333,3.7,4,"35k - 50k","<CD","AD","ucb"
6,5,4,2,5,3,5,2,4,6,4,2,4,4,5,2,5,1,2,5,5,5,5,3,3,3,5,5,4,4,5,6,5,5,2,4,5,5,3,6,2,6,6,2,"M","L",3,3.77777777777778,3.66666666666667,4.4,2.625,"35k - 50k",NA,NA,"cc"
3,4,5,5,5,5,6,6,3,6,3,1,6,6,5,5,5,6,6,6,4,3,6,3,5,3,4,5,7,7,6,5,5,3,4,4,2,4,5,5,4,7,6,5,"F","AS",2.625,4.33333333333333,2.77777777777778,4.8,4.75,"25k - 35k","<HSD","HSD","ucb"
2,3,5,3,4,5,5,5,4,5,4,4,6,6,4,6,4,5,6,4,6,5,4,3,4,5,5,3,4,5,3,5,3,4,5,3,6,3,4,5,4,6,5,5,"F","W",3,3.44444444444444,2.77777777777778,3.9,3.75,"100k - 150k","MD","MD","ucb"
4,1,5,4,5,2,6,5,5,5,6,2,6,3,5,5,6,6,3,6,2,6,2,6,6,5,2,5,2,6,3,7,6,6,3,6,2,6,2,6,2,6,6,5,"M","W",4.625,5.33333333333333,3.66666666666667,5.1,1.875,"75k - 100k","<GD","<GD",NA
3,3,5,5,7,4,4,4,1,7,2,4,5,7,7,3,3,3,7,7,5,5,6,5,7,6,6,5,5,7,5,5,NA,6,5,5,5,5,7,7,1,3,7,6,"M","AS",2.875,2.88888888888889,NA,6.1,4.625,"> $150k",NA,NA,"cc"
